stfips,ctfips,st,cty,lon,lat,Uppm
1,1,AL,AUTAUGA,-86.643,32.534,1.78331
1,3,AL,BALDWIN,-87.75,30.661,1.38323
1,5,AL,BARBOUR,-85.393,31.87,2.10105
1,7,AL,BIBB,-87.126,32.998,1.67313
1,9,AL,BLOUNT,-86.568,33.981,1.88501
1,11,AL,BULLOCK,-85.716,32.1,2.46112
1,13,AL,BUTLER,-86.68,31.752,1.91714
1,15,AL,CALHOUN,-85.827,33.772,1.97532
1,17,AL,CHAMBERS,-85.392,32.914,1.75695
1,19,AL,CHEROKEE,-85.604,34.176,1.76798
1,21,AL,CHILTON,-86.719,32.848,1.83799
1,23,AL,CHOCTAW,-88.261,32.022,1.60929
1,25,AL,CLARKE,-87.831,31.679,1.52789
1,27,AL,CLAY,-85.861,33.269,2.33412
1,29,AL,CLEBURNE,-85.519,33.674,2.22778
1,31,AL,COFFEE,-85.988,31.402,1.76784
1,33,AL,COLBERT,-87.805,34.7,1.90109
1,35,AL,CONECUH,-86.994,31.429,1.63786
1,37,AL,COOSA,-86.247,32.936,2.1924
1,39,AL,COVINGTON,-86.451,31.248,1.55775
1,41,AL,CRENSHAW,-86.314,31.731,1.94381
1,43,AL,CULLMAN,-86.868,34.132,2.02159
1,45,AL,DALE,-85.611,31.432,1.55431
1,47,AL,DALLAS,-87.107,32.325,2.33182
1,49,AL,DEKALB,-85.804,34.46,1.72305
1,51,AL,ELMORE,-86.15,32.597,2.12026
1,53,AL,ESCAMBIA,-87.162,31.126,1.51034
1,55,AL,ETOWAH,-86.035,34.045,1.90331
1,57,AL,FAYETTE,-87.739,33.721,1.77771
1,59,AL,FRANKLIN,-87.844,34.442,1.853
1,61,AL,GENEVA,-85.839,31.095,1.53492
1,63,AL,GREENE,-87.953,32.85,2.09821
1,65,AL,HALE,-87.628,32.764,2.21468
1,67,AL,HENRY,-85.242,31.514,1.74295
1,69,AL,HOUSTON,-85.303,31.153,1.68112
1,71,AL,JACKSON,-85.999,34.779,1.98385
1,73,AL,JEFFERSON,-86.897,33.554,1.98541
1,75,AL,LAMAR,-88.097,33.779,1.77351
1,77,AL,LAUDERDALE,-87.654,34.901,1.91972
